Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
22,Yes,Travel_Rarely,1019,Research & Development,11,5,Medical,1,749,1,Female,92,3,5,Human Resources,3,Single,17592,16094,0,Y,Yes,11,4,2,80,3,27,2,2,8,4,7,8
42,No,Non-Travel,308,Human Resources,23,5,Other,1,750,1,Male,66,3,2,Manufacturing Director,1,Divorced,3408,8072,7,Y,No,13,3,3,80,2,11,6,2,21,12,14,16
49,No,Travel_Rarely,1128,Sales,5,2,Life Sciences,1,751,4,Female,72,3,1,Research Scientist,1,Married,3533,26056,3,Y,Yes,17,4,4,80,3,1,6,3,32,13,14,8
54,Yes,Non-Travel,1491,Sales,8,1,Other,1,752,2,Female,80,1,1,Sales Representative,1,Single,5619,15764,1,Y,Yes,13,3,1,80,2,22,2,4,32,13,8,10
49,Yes,Travel_Frequently,773,Research & Development,29,4,Marketing,1,753,2,Male,90,4,3,Healthcare Representative,1,Divorced,13671,19257,7,Y,Yes,23,3,3,80,2,4,3,4,22,8,10,3
27,No,Travel_Frequently,721,Research & Development,3,5,Other,1,754,3,Female,48,2,2,Sales Representative,4,Single,14961,2650,8,Y,Yes,24,4,1,80,3,1,1,4,12,1,9,8
27,No,Travel_Rarely,1418,Research & Development,2,2,Human Resources,1,755,1,Female,33,3,1,Manager,3,Single,19961,2491,9,Y,No,24,4,4,80,1,17,2,2,35,8,3,6
41,Yes,Travel_Rarely,655,Sales,1,3,Marketing,1,756,4,Female,75,4,4,Manufacturing Director,1,Single,11555,18421,3,Y,No,25,4,1,80,3,0,1,3,17,4,1,7
23,Yes,Travel_Rarely,1331,Human Resources,11,5,Marketing,1,757,4,Female,69,2,1,Manager,1,Single,15427,23884,7,Y,Yes,19,4,4,80,2,7,5,3,4,16,13,8
51,No,Non-Travel,109,Sales,17,2,Other,1,758,4,Male,43,4,2,Manager,2,Divorced,15078,3114,5,Y,Yes,13,4,4,80,2,33,1,1,28,6,0,12
43,No,Travel_Rarely,539,Sales,21,1,Marketing,1,759,1,Male,99,2,3,Laboratory Technician,4,Married,12146,20546,4,Y,No,25,4,2,80,1,29,5,2,14,15,3,14
57,No,Non-Travel,452,Human Resources,16,5,Human Resources,1,760,4,Male,64,4,1,Sales Representative,3,Married,15644,21129,5,Y,No,21,4,4,80,2,20,1,1,34,17,1,14
31,Yes,Travel_Rarely,237,Research & Development,19,1,Marketing,1,761,1,Male,77,4,2,Research Scientist,2,Single,9645,20132,8,Y,Yes,14,3,2,80,3,25,0,2,15,18,12,3
29,No,Travel_Rarely,1469,Sales,1,3,Technical Degree,1,762,1,Female,99,4,1,Sales Representative,2,Divorced,17014,2324,6,Y,No,24,3,1,80,1,14,3,2,37,17,4,12
53,No,Non-Travel,664,Sales,17,4,Technical Degree,1,763,4,Female,61,3,1,Research Scientist,4,Married,16090,18839,9,Y,No,14,4,3,80,0,31,3,2,6,5,6,3
38,Yes,Travel_Frequently,1396,Human Resources,22,3,Medical,1,764,3,Female,41,4,5,Manager,3,Single,10189,10725,0,Y,Yes,19,3,1,80,2,4,2,4,3,3,4,7
59,Yes,Non-Travel,508,Research & Development,18,4,Human Resources,1,765,4,Female,34,4,4,Sales Executive,1,Divorced,8615,23026,4,Y,Yes,17,4,3,80,3,36,6,3,1,7,13,13
37,No,Non-Travel,986,Human Resources,5,5,Marketing,1,766,2,Male,94,2,1,Research Director,4,Married,15853,25241,2,Y,Yes,14,3,4,80,0,8,4,1,21,17,11,9
59,No,Non-Travel,566,Human Resources,10,1,Medical,1,767,1,Male,62,2,5,Research Scientist,4,Divorced,16297,8886,4,Y,Yes,24,4,3,80,1,7,2,3,34,9,2,15
35,No,Travel_Frequently,232,Research & Development,1,3,Human Resources,1,768,2,Female,95,1,4,Sales Representative,1,Single,10402,5334,3,Y,Yes,21,4,4,80,2,35,1,4,28,9,0,4
55,No,Travel_Rarely,931,Research & Development,22,2,Life Sciences,1,769,2,Male,74,1,5,Research Scientist,2,Divorced,19287,8274,6,Y,Yes,18,3,4,80,3,27,0,1,8,10,12,7
35,No,Non-Travel,377,Human Resources,5,2,Marketing,1,770,1,Female,86,4,5,Manager,4,Married,12742,22318,0,Y,Yes,24,4,1,80,1,40,2,3,25,3,8,9
19,No,Non-Travel,604,Research & Development,3,4,Marketing,1,771,3,Male,69,2,4,Healthcare Representative,1,Single,13583,10165,7,Y,Yes,14,3,3,80,2,22,4,2,40,5,15,14
42,Yes,Non-Travel,713,Sales,2,1,Life Sciences,1,772,1,Female,72,3,1,Manager,3,Married,9391,20094,6,Y,No,13,3,1,80,3,15,1,1,16,11,8,12
23,Yes,Travel_Rarely,1089,Research & Development,19,2,Life Sciences,1,773,1,Female,63,4,5,Sales Representative,4,Single,11390,9095,1,Y,No,15,3,3,80,1,28,3,4,27,3,6,1
51,Yes,Travel_Rarely,207,Human Resources,4,5,Medical,1,774,1,Male,56,1,3,Human Resources,1,Married,8507,16286,7,Y,No,21,3,1,80,0,35,3,1,2,12,10,13
37,No,Travel_Frequently,1032,Human Resources,14,5,Technical Degree,1,775,2,Male,55,2,1,Research Director,3,Divorced,7437,2494,6,Y,No,13,3,1,80,3,21,5,3,1,10,4,5
36,No,Non-Travel,694,Human Resources,1,4,Medical,1,776,1,Female,70,1,3,Research Director,2,Divorced,4136,15260,6,Y,No,24,3,2,80,1,17,0,1,20,7,4,5
60,No,Non-Travel,864,Research & Development,5,1,Human Resources,1,777,1,Female,56,3,5,Manufacturing Director,2,Divorced,19879,5404,3,Y,No,16,3,4,80,1,10,1,3,21,13,9,10
26,No,Travel_Frequently,482,Sales,13,3,Marketing,1,778,4,Female,52,3,5,Sales Representative,4,Married,7343,10863,2,Y,Yes,14,4,4,80,1,17,5,3,11,15,7,11
43,No,Travel_Frequently,465,Research & Development,13,3,Marketing,1,779,3,Male,79,2,3,Manager,1,Single,14658,15741,4,Y,Yes,18,4,2,80,3,37,5,3,10,9,14,8
43,Yes,Travel_Rarely,752,Sales,8,3,Life Sciences,1,780,2,Male,61,2,3,Manager,4,Married,5948,11852,1,Y,Yes,12,3,4,80,1,40,4,2,20,8,6,9
44,Yes,Travel_Rarely,980,Human Resources,22,5,Human Resources,1,781,1,Male,98,2,3,Sales Executive,2,Single,18912,23631,1,Y,No,16,3,1,80,3,32,5,2,29,2,0,7
19,Yes,Non-Travel,1072,Human Resources,13,1,Medical,1,782,1,Female,65,4,4,Sales Representative,1,Single,5594,14762,4,Y,No,13,3,3,80,1,37,6,3,28,12,5,10
59,Yes,Non-Travel,1286,Sales,6,4,Technical Degree,1,783,3,Male,56,2,5,Human Resources,4,Divorced,10858,2465,3,Y,Yes,19,3,1,80,3,24,5,3,36,14,2,13
46,No,Travel_Frequently,1498,Sales,8,2,Marketing,1,784,1,Female,43,4,1,Laboratory Technician,3,Single,1911,5816,6,Y,Yes,22,3,1,80,1,14,2,3,13,15,13,15
60,No,Travel_Rarely,662,Sales,26,1,Marketing,1,785,3,Female,37,1,4,Sales Executive,2,Divorced,3430,10320,8,Y,No,17,3,3,80,0,3,6,3,10,1,4,16
53,Yes,Travel_Frequently,345,Research & Development,18,1,Technical Degree,1,786,1,Female,67,2,1,Manager,3,Single,11793,12001,8,Y,No,11,3,3,80,0,27,0,4,36,3,15,3
31,Yes,Non-Travel,265,Research & Development,26,4,Human Resources,1,787,4,Female,56,2,1,Manufacturing Director,1,Divorced,10952,17296,0,Y,No,15,3,1,80,3,40,2,3,8,15,2,6
45,Yes,Travel_Rarely,856,Research & Development,13,3,Medical,1,788,1,Female,100,1,1,Sales Executive,3,Single,4652,23642,6,Y,Yes,13,3,2,80,2,18,0,1,15,2,10,6
39,No,Travel_Frequently,1324,Sales,14,2,Medical,1,789,4,Male,74,3,2,Research Director,2,Single,17289,26329,4,Y,No,13,4,3,80,0,29,4,3,33,16,11,13
42,Yes,Travel_Rarely,1269,Sales,8,1,Human Resources,1,790,1,Male,85,4,3,Research Scientist,2,Married,12938,18637,4,Y,No,18,3,4,80,3,25,1,3,25,11,0,8
42,No,Travel_Frequently,148,Sales,2,1,Marketing,1,791,1,Female,30,4,5,Research Scientist,2,Married,2336,25045,8,Y,No,25,3,1,80,3,34,4,1,17,3,15,4
52,No,Non-Travel,1068,Research & Development,6,2,Other,1,792,1,Male,50,2,2,Laboratory Technician,2,Divorced,6743,20315,2,Y,No,19,4,4,80,1,33,1,3,38,18,9,1
18,Yes,Non-Travel,181,Sales,25,5,Marketing,1,793,1,Female,77,1,1,Manager,3,Single,1982,12396,3,Y,Yes,25,3,2,80,0,27,2,1,40,11,15,17
20,Yes,Travel_Rarely,594,Human Resources,5,5,Human Resources,1,794,1,Male,43,3,3,Manager,3,Divorced,11918,26966,2,Y,Yes,15,4,4,80,2,40,1,1,11,2,7,0
42,No,Travel_Frequently,1121,Sales,21,1,Technical Degree,1,795,4,Female,48,1,2,Sales Executive,3,Divorced,14198,21632,9,Y,Yes,24,4,3,80,3,23,4,3,1,17,8,5
54,No,Travel_Frequently,1336,Research & Development,19,1,Technical Degree,1,796,3,Female,96,4,1,Research Scientist,1,Single,2597,14824,5,Y,Yes,14,3,4,80,2,28,0,1,25,10,4,14
44,No,Non-Travel,958,Sales,18,1,Marketing,1,797,2,Male,58,1,5,Manufacturing Director,2,Married,14066,22277,9,Y,Yes,15,4,3,80,3,11,2,1,34,9,5,7
27,Yes,Non-Travel,537,Research & Development,17,1,Human Resources,1,798,1,Male,46,3,1,Research Director,3,Divorced,14061,21766,1,Y,Yes,16,4,3,80,3,11,6,4,36,12,0,5
35,No,Travel_Frequently,1028,Human Resources,8,2,Life Sciences,1,799,3,Male,75,2,2,Human Resources,3,Single,18632,6658,8,Y,No,11,4,1,80,3,25,1,1,28,5,3,15
36,No,Travel_Rarely,386,Human Resources,1,3,Human Resources,1,800,4,Female,45,3,2,Laboratory Technician,4,Married,7887,17653,0,Y,No,13,4,1,80,0,14,4,2,32,1,9,17
40,No,Non-Travel,411,Human Resources,14,1,Technical Degree,1,801,1,Female,61,2,3,Manager,4,Single,16974,4871,9,Y,No,11,3,2,80,3,6,3,2,11,10,12,8
49,No,Travel_Rarely,856,Research & Development,20,3,Human Resources,1,802,2,Female,30,3,3,Manager,2,Single,8687,4808,6,Y,Yes,25,3,3,80,3,18,3,3,15,14,0,3
57,Yes,Travel_Frequently,503,Sales,20,1,Human Resources,1,803,4,Male,83,4,3,Healthcare Representative,3,Divorced,16440,23331,6,Y,No,11,3,1,80,3,35,0,4,4,1,4,4
33,No,Travel_Rarely,335,Research & Development,16,5,Technical Degree,1,804,1,Male,91,4,2,Research Director,2,Divorced,5962,8595,7,Y,Yes,20,3,1,80,3,40,4,3,32,11,13,7
49,No,Non-Travel,687,Human Resources,20,3,Life Sciences,1,805,1,Female,61,4,3,Manager,2,Divorced,3405,8882,2,Y,Yes,16,4,4,80,1,30,6,3,6,15,6,15
44,Yes,Travel_Rarely,248,Research & Development,29,2,Other,1,806,1,Female,42,3,1,Research Scientist,3,Divorced,15032,14969,4,Y,Yes,18,3,3,80,1,31,1,3,20,11,7,7
49,Yes,Travel_Rarely,905,Research & Development,25,4,Other,1,807,4,Male,97,4,5,Manufacturing Director,4,Divorced,6405,11225,9,Y,Yes,24,3,1,80,3,40,1,3,0,13,4,13
38,Yes,Travel_Rarely,785,Human Resources,5,1,Medical,1,808,4,Male,93,2,5,Manager,3,Single,1722,22209,7,Y,Yes,21,4,2,80,1,36,0,3,27,11,0,5
27,No,Travel_Frequently,1112,Research & Development,18,1,Marketing,1,809,4,Male,47,3,1,Sales Representative,3,Single,2710,17133,0,Y,No,21,3,1,80,3,35,5,2,15,6,14,4
21,Yes,Travel_Frequently,233,Sales,13,4,Medical,1,810,1,Male,55,4,2,Laboratory Technician,4,Divorced,1151,5791,1,Y,No,11,3,3,80,1,24,6,3,34,6,6,6
45,Yes,Travel_Rarely,1282,Research & Development,1,5,Life Sciences,1,811,4,Female,56,4,1,Research Director,3,Single,10381,16343,9,Y,No,19,4,4,80,0,7,6,2,9,8,11,2
54,No,Travel_Frequently,204,Sales,29,1,Human Resources,1,812,3,Male,80,1,4,Research Director,1,Single,2607,9196,8,Y,Yes,15,3,1,80,0,17,1,1,22,12,12,16
39,No,Travel_Rarely,539,Research & Development,7,5,Technical Degree,1,813,3,Female,91,3,4,Research Director,3,Single,2645,8552,0,Y,No,25,4,3,80,2,28,0,4,28,17,8,1
23,No,Non-Travel,1049,Sales,4,4,Other,1,814,4,Female,85,1,1,Research Director,4,Married,17961,15935,1,Y,Yes,24,4,4,80,1,12,1,4,4,15,1,10
19,Yes,Travel_Rarely,526,Research & Development,7,3,Marketing,1,815,3,Male,71,4,2,Sales Representative,3,Divorced,12960,9939,3,Y,Yes,13,4,4,80,0,29,6,4,21,17,1,2
39,Yes,Travel_Frequently,978,Sales,16,5,Life Sciences,1,816,2,Female,49,3,2,Laboratory Technician,4,Divorced,16704,26799,6,Y,No,15,4,1,80,0,10,2,2,33,11,9,13
24,No,Non-Travel,1216,Research & Development,27,2,Human Resources,1,817,2,Female,88,2,5,Laboratory Technician,4,Married,16381,17032,1,Y,Yes,13,4,2,80,3,12,0,1,0,14,2,4
22,No,Non-Travel,672,Human Resources,7,3,Technical Degree,1,818,4,Female,36,3,4,Sales Executive,4,Divorced,15007,6036,9,Y,No,17,4,4,80,3,25,6,4,26,9,1,12
51,No,Non-Travel,690,Research & Development,1,1,Other,1,819,2,Female,66,2,4,Research Director,2,Married,7572,24853,2,Y,No,20,3,3,80,0,29,0,3,18,15,7,13
21,No,Travel_Frequently,1111,Sales,19,1,Human Resources,1,820,1,Female,35,1,4,Laboratory Technician,4,Divorced,2015,18606,0,Y,Yes,16,3,3,80,2,38,3,2,14,10,9,16
50,No,Travel_Frequently,1109,Human Resources,20,2,Human Resources,1,821,4,Male,41,3,4,Manager,4,Single,13701,11388,3,Y,No,25,3,1,80,1,26,3,3,9,16,4,9
43,Yes,Travel_Frequently,1314,Human Resources,24,4,Technical Degree,1,822,3,Female,35,1,2,Healthcare Representative,4,Single,2635,4923,4,Y,No,16,3,1,80,2,13,6,2,31,3,12,6
21,No,Non-Travel,757,Research & Development,28,2,Medical,1,823,1,Female,37,1,1,Healthcare Representative,2,Divorced,19131,16622,8,Y,No,23,4,1,80,1,21,5,3,4,10,5,1
57,No,Non-Travel,639,Sales,8,4,Medical,1,824,1,Female,83,4,2,Sales Representative,1,Single,3707,6692,2,Y,No,16,4,4,80,3,0,6,3,14,2,2,1
40,No,Travel_Rarely,602,Human Resources,28,5,Medical,1,825,2,Male,94,3,2,Human Resources,1,Single,11115,6679,6,Y,Yes,17,4,1,80,3,31,3,4,6,16,15,15
43,No,Travel_Rarely,1189,Sales,26,2,Medical,1,826,4,Male,33,1,4,Laboratory Technician,4,Married,6641,21496,2,Y,Yes,17,4,4,80,1,28,5,4,5,12,10,5
29,No,Travel_Frequently,698,Sales,19,2,Marketing,1,827,2,Male,73,4,4,Sales Executive,2,Married,11583,21861,7,Y,Yes,11,3,3,80,2,1,0,3,7,14,3,12
39,Yes,Travel_Rarely,1295,Human Resources,19,1,Life Sciences,1,828,4,Male,41,4,1,Human Resources,3,Single,15051,3384,0,Y,No,11,3,3,80,1,33,3,4,22,14,1,7
59,No,Non-Travel,1309,Human Resources,1,1,Human Resources,1,829,3,Female,38,4,1,Sales Executive,3,Divorced,19739,26808,0,Y,Yes,13,3,2,80,1,26,4,2,7,17,0,12
28,No,Non-Travel,1122,Sales,7,1,Life Sciences,1,830,2,Male,84,2,3,Sales Executive,3,Divorced,16395,26171,4,Y,Yes,18,3,3,80,3,38,2,4,31,8,1,12
52,Yes,Non-Travel,843,Sales,10,3,Marketing,1,831,3,Male,38,3,4,Research Scientist,4,Married,17855,8602,4,Y,Yes,19,3,3,80,1,26,6,4,13,13,12,9
51,Yes,Non-Travel,417,Human Resources,28,4,Medical,1,832,4,Female,95,3,2,Laboratory Technician,4,Single,19387,9251,4,Y,No,24,4,3,80,2,1,6,3,20,1,11,1
56,No,Travel_Rarely,653,Research & Development,15,2,Technical Degree,1,833,1,Male,55,3,2,Manager,1,Single,16326,16735,3,Y,No,24,4,3,80,0,15,4,1,4,13,4,10
53,Yes,Non-Travel,827,Human Resources,22,2,Technical Degree,1,834,3,Male,32,2,5,Human Resources,3,Divorced,12262,9531,1,Y,Yes,20,4,2,80,3,39,6,3,12,2,3,3
27,No,Travel_Rarely,824,Sales,1,3,Life Sciences,1,835,3,Female,88,3,2,Sales Representative,4,Single,13470,8096,5,Y,No,19,4,4,80,1,35,5,3,22,9,10,2
34,Yes,Non-Travel,1338,Sales,3,5,Life Sciences,1,836,1,Female,91,3,3,Research Director,3,Single,8215,24659,7,Y,Yes,13,4,2,80,3,29,1,2,28,8,12,3
26,No,Travel_Rarely,752,Research & Development,12,4,Technical Degree,1,837,4,Male,42,2,4,Healthcare Representative,3,Single,4892,18843,7,Y,No,11,3,4,80,0,38,6,4,15,0,7,10
22,Yes,Travel_Rarely,1113,Human Resources,10,3,Human Resources,1,838,2,Female,83,4,2,Human Resources,2,Divorced,10197,9602,8,Y,Yes,19,4,1,80,1,3,1,3,38,7,12,9
41,No,Travel_Rarely,398,Sales,6,2,Human Resources,1,839,3,Female,90,3,3,Sales Executive,4,Married,7064,21963,9,Y,No,22,4,3,80,2,40,2,2,5,16,6,9
33,Yes,Travel_Rarely,864,Human Resources,26,1,Human Resources,1,840,4,Male,45,1,3,Healthcare Representative,4,Divorced,4767,24151,7,Y,Yes,25,4,1,80,1,10,4,1,27,4,2,1
50,Yes,Non-Travel,1368,Human Resources,6,1,Other,1,841,4,Female,71,4,2,Sales Executive,4,Married,4741,2975,5,Y,Yes,18,3,4,80,2,38,5,1,23,6,1,8
35,Yes,Non-Travel,123,Human Resources,1,2,Technical Degree,1,842,2,Male,34,2,3,Research Director,1,Divorced,11370,18576,6,Y,Yes,11,3,1,80,0,38,6,2,17,13,14,11
37,No,Travel_Rarely,401,Human Resources,26,4,Other,1,843,1,Female,61,2,4,Laboratory Technician,1,Divorced,11284,5375,3,Y,Yes,17,3,1,80,1,9,0,1,15,17,5,11
33,No,Non-Travel,1228,Sales,7,1,Technical Degree,1,844,1,Male,58,4,1,Manager,1,Single,16701,10139,6,Y,Yes,22,4,4,80,3,11,0,1,1,11,4,2
34,No,Non-Travel,1072,Human Resources,15,1,Medical,1,845,3,Male,33,3,1,Laboratory Technician,2,Married,1219,19431,5,Y,No,25,3,3,80,2,16,2,4,38,15,4,12
40,Yes,Travel_Frequently,337,Sales,6,4,Medical,1,846,1,Female,86,4,1,Sales Representative,4,Divorced,14956,9975,9,Y,Yes,12,3,4,80,3,34,1,1,23,11,15,6
47,No,Non-Travel,1217,Sales,16,3,Human Resources,1,847,2,Female,66,4,1,Manufacturing Director,3,Married,13502,7858,7,Y,No,22,3,1,80,0,4,6,4,26,3,9,5
58,No,Travel_Frequently,482,Research & Development,17,2,Human Resources,1,848,4,Female,83,3,4,Healthcare Representative,3,Married,11271,14451,8,Y,Yes,25,3,2,80,1,0,0,3,34,7,15,7
43,No,Travel_Rarely,263,Research & Development,19,2,Technical Degree,1,849,1,Female,91,1,4,Research Director,2,Married,3119,3525,4,Y,Yes,22,3,1,80,3,10,1,2,17,15,3,16
30,No,Non-Travel,1200,Human Resources,15,5,Medical,1,850,4,Male,87,3,5,Sales Executive,3,Single,15715,22550,9,Y,Yes,13,3,1,80,0,7,2,4,21,13,11,16
24,No,Non-Travel,988,Human Resources,16,2,Technical Degree,1,851,4,Female,42,4,2,Human Resources,2,Single,16114,14104,5,Y,No,22,4,1,80,2,38,3,2,31,17,2,2
54,No,Travel_Rarely,1310,Sales,19,5,Human Resources,1,852,2,Female,44,2,1,Sales Executive,1,Married,17188,13499,3,Y,No,17,3,2,80,0,15,0,4,39,16,10,8
55,No,Non-Travel,737,Sales,20,1,Life Sciences,1,853,2,Male,67,3,5,Research Director,2,Married,14807,9775,9,Y,No,18,4,2,80,1,20,6,3,6,14,8,2
56,No,Travel_Frequently,1244,Human Resources,21,3,Medical,1,854,2,Female,53,2,4,Healthcare Representative,1,Single,18769,15042,3,Y,Yes,15,3,2,80,2,14,0,3,24,6,1,7
18,Yes,Travel_Rarely,921,Sales,22,3,Other,1,855,4,Male,76,4,2,Manufacturing Director,1,Single,6770,25117,1,Y,Yes,21,3,3,80,3,25,4,1,4,6,6,15
30,Yes,Travel_Frequently,160,Research & Development,23,2,Human Resources,1,856,2,Male,31,2,3,Laboratory Technician,2,Single,6603,26177,4,Y,No,23,3,4,80,1,15,3,3,19,0,3,17
24,Yes,Travel_Frequently,651,Human Resources,10,5,Marketing,1,857,1,Female,65,2,3,Healthcare Representative,3,Married,14488,13596,1,Y,Yes,21,3,3,80,2,0,4,3,6,9,15,11
30,No,Non-Travel,1059,Human Resources,11,3,Technical Degree,1,858,3,Male,41,1,5,Laboratory Technician,4,Divorced,3322,2984,3,Y,Yes,16,4,2,80,0,40,1,2,30,12,12,13
55,Yes,Travel_Rarely,456,Human Resources,19,3,Life Sciences,1,859,4,Female,62,1,1,Sales Representative,2,Single,1541,22446,3,Y,No,15,3,3,80,3,27,5,2,32,6,8,13
30,No,Travel_Frequently,1483,Sales,18,5,Life Sciences,1,860,3,Female,90,3,1,Sales Representative,4,Married,9345,26068,0,Y,Yes,23,4,2,80,1,35,1,4,39,4,10,10
19,Yes,Travel_Frequently,520,Research & Development,27,1,Other,1,861,2,Male,64,4,1,Manager,4,Single,14835,11379,5,Y,Yes,20,3,4,80,2,2,2,4,7,17,6,0
20,Yes,Travel_Frequently,381,Sales,17,4,Life Sciences,1,862,3,Male,78,4,4,Sales Executive,3,Married,1546,15482,1,Y,No,24,4,1,80,2,39,3,1,5,0,6,16
34,Yes,Non-Travel,791,Research & Development,16,3,Medical,1,863,3,Female,73,1,5,Sales Representative,4,Divorced,4152,14688,7,Y,Yes,20,3,2,80,1,23,4,4,36,16,10,0
35,Yes,Non-Travel,1424,Research & Development,26,4,Medical,1,864,4,Male,69,1,2,Manufacturing Director,2,Single,15251,4456,7,Y,Yes,23,4,1,80,0,8,2,1,15,17,10,15
45,No,Travel_Frequently,718,Sales,26,1,Technical Degree,1,865,2,Male,61,4,5,Healthcare Representative,4,Divorced,11595,18876,5,Y,No,22,3,1,80,1,28,4,4,38,10,2,6
18,Yes,Travel_Rarely,1133,Research & Development,5,4,Medical,1,866,4,Male,36,2,4,Research Director,4,Divorced,2700,8460,6,Y,Yes,15,4,2,80,3,32,6,4,15,7,3,17
22,No,Non-Travel,557,Research & Development,15,4,Human Resources,1,867,1,Male,58,1,4,Manufacturing Director,3,Married,16114,17218,6,Y,Yes,25,3,4,80,3,28,4,3,2,16,15,15
34,Yes,Travel_Frequently,1357,Research & Development,22,3,Technical Degree,1,868,3,Male,47,3,2,Sales Executive,4,Married,1910,26776,3,Y,Yes,18,4,4,80,0,16,6,2,1,15,13,14
40,No,Travel_Frequently,1324,Research & Development,12,2,Marketing,1,869,1,Male,90,2,2,Healthcare Representative,1,Divorced,2533,20803,4,Y,Yes,16,4,3,80,1,18,5,3,21,7,10,13
41,No,Travel_Frequently,471,Human Resources,28,2,Medical,1,870,1,Female,34,3,4,Healthcare Representative,1,Divorced,2972,26198,3,Y,Yes,24,4,1,80,3,20,0,1,35,3,10,16
31,Yes,Travel_Frequently,924,Research & Development,3,3,Technical Degree,1,871,4,Male,84,1,5,Research Scientist,4,Single,1010,11290,7,Y,Yes,21,4,2,80,2,8,2,4,21,18,11,0
51,No,Travel_Frequently,438,Sales,8,2,Human Resources,1,872,2,Male,84,3,1,Research Director,3,Married,8937,22513,8,Y,No,25,3,1,80,0,22,0,2,5,17,12,12
20,Yes,Travel_Frequently,731,Research & Development,28,2,Life Sciences,1,873,3,Male,94,3,2,Manufacturing Director,4,Married,10919,6294,0,Y,Yes,20,4,3,80,0,10,5,2,32,15,7,11
23,Yes,Travel_Frequently,737,Research & Development,16,3,Human Resources,1,874,1,Female,76,1,5,Manager,1,Divorced,12652,18940,5,Y,Yes,25,4,3,80,2,13,4,3,40,5,3,15
53,Yes,Travel_Frequently,1377,Sales,2,5,Other,1,875,1,Female,100,4,3,Research Director,1,Married,16105,13404,9,Y,No,19,3,1,80,2,34,6,1,35,1,1,6
