Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
48,No,Travel_Rarely,1206,Human Resources,12,2,Technical Degree,1,19,1,Female,61,2,1,Laboratory Technician,2,Divorced,16526,24030,1,Y,Yes,22,4,3,80,0,10,2,1,37,0,9,12
43,No,Non-Travel,1314,Sales,27,2,Human Resources,1,20,1,Female,74,4,3,Human Resources,3,Divorced,14773,18156,1,Y,Yes,21,4,2,80,1,33,5,3,39,17,15,14
45,Yes,Travel_Frequently,604,Human Resources,9,4,Life Sciences,1,21,4,Male,33,4,3,Laboratory Technician,4,Divorced,12635,10559,5,Y,Yes,19,3,2,80,1,26,3,2,30,15,14,0
23,Yes,Non-Travel,930,Sales,8,3,Technical Degree,1,22,4,Male,84,3,3,Sales Executive,3,Married,9246,9648,1,Y,Yes,12,3,2,80,3,17,5,3,6,6,9,7
41,No,Travel_Frequently,130,Sales,18,2,Marketing,1,23,1,Male,46,4,1,Healthcare Representative,3,Married,16695,16527,5,Y,No,15,4,1,80,3,31,0,1,9,4,9,2
33,No,Travel_Rarely,954,Sales,20,5,Life Sciences,1,24,4,Male,68,4,3,Healthcare Representative,1,Divorced,7923,10765,1,Y,No,13,3,2,80,3,28,5,4,18,1,7,9
36,Yes,Non-Travel,580,Research & Development,26,5,Technical Degree,1,25,4,Female,99,2,2,Manufacturing Director,2,Divorced,2963,7530,4,Y,Yes,12,4,3,80,2,32,4,4,28,2,1,13
38,Yes,Non-Travel,289,Human Resources,22,5,Other,1,26,3,Female,52,4,5,Sales Executive,3,Divorced,15292,22894,7,Y,Yes,16,4,3,80,0,10,2,4,31,9,12,17
20,Yes,Non-Travel,746,Research & Development,11,1,Medical,1,27,4,Male,36,2,5,Research Director,4,Single,15493,26997,0,Y,Yes,19,3,3,80,3,7,0,2,10,9,0,17
44,No,Non-Travel,334,Research & Development,4,2,Medical,1,28,3,Male,91,4,2,Sales Executive,2,Married,7254,21734,8,Y,No,15,4,3,80,0,18,5,3,37,18,15,4
46,Yes,Travel_Frequently,782,Sales,25,5,Medical,1,29,3,Female,60,4,2,Research Scientist,1,Married,16507,25202,6,Y,No,18,3,2,80,0,28,0,4,0,4,13,4
22,Yes,Travel_Frequently,795,Sales,23,4,Technical Degree,1,30,3,Male,70,4,5,Healthcare Representative,1,Divorced,10425,9548,1,Y,No,23,3,4,80,2,1,0,3,3,9,11,11
45,No,Non-Travel,1189,Research & Development,19,2,Life Sciences,1,31,1,Male,60,4,5,Laboratory Technician,2,Married,9331,17153,4,Y,Yes,25,4,2,80,3,22,4,3,40,13,8,14
37,No,Travel_Frequently,1091,Human Resources,8,4,Other,1,32,3,Male,32,4,3,Healthcare Representative,1,Single,17285,11472,3,Y,No,21,3,3,80,0,40,5,1,19,14,1,11
26,No,Travel_Frequently,771,Sales,14,2,Life Sciences,1,33,3,Male,51,3,4,Manufacturing Director,3,Divorced,16355,4561,2,Y,Yes,24,4,1,80,0,16,4,1,29,11,8,12
58,Yes,Non-Travel,1484,Human Resources,16,1,Other,1,34,2,Female,89,3,4,Human Resources,2,Divorced,2228,12067,7,Y,No,14,3,4,80,2,34,3,2,26,3,15,13
35,No,Travel_Rarely,860,Human Resources,15,4,Life Sciences,1,35,1,Male,99,3,1,Research Scientist,3,Divorced,5011,16994,1,Y,No,11,4,2,80,1,4,6,2,37,6,7,10
27,No,Travel_Frequently,398,Human Resources,18,3,Life Sciences,1,36,1,Female,31,3,2,Research Director,1,Divorced,9704,3811,2,Y,No,22,3,4,80,2,32,4,1,28,16,7,1
60,Yes,Travel_Frequently,1419,Human Resources,2,4,Medical,1,37,1,Male,86,1,1,Research Director,2,Divorced,5144,11105,9,Y,Yes,20,4,4,80,0,7,6,2,27,14,7,13
39,Yes,Travel_Frequently,953,Sales,4,3,Medical,1,38,3,Male,49,4,1,Human Resources,1,Divorced,15160,5258,5,Y,No,20,4,1,80,2,27,6,1,18,9,11,3
54,No,Non-Travel,1446,Research & Development,8,1,Marketing,1,39,1,Male,58,4,5,Sales Representative,1,Single,9772,3042,2,Y,Yes,25,4,3,80,1,9,4,4,4,4,0,2
51,No,Travel_Frequently,961,Research & Development,11,2,Marketing,1,40,3,Female,36,2,2,Healthcare Representative,1,Married,15528,23784,6,Y,Yes,17,4,2,80,2,27,0,3,37,15,9,1
32,Yes,Travel_Rarely,214,Human Resources,7,3,Life Sciences,1,41,3,Male,71,1,1,Sales Executive,4,Divorced,5242,14552,8,Y,Yes,12,4,1,80,0,29,0,3,36,13,12,13
36,No,Travel_Frequently,144,Research & Development,6,5,Medical,1,42,1,Male,43,2,4,Research Scientist,1,Married,11176,26532,5,Y,Yes,23,3,1,80,1,22,2,2,15,3,4,8
30,No,Travel_Rarely,415,Sales,3,2,Technical Degree,1,43,4,Male,71,3,2,Sales Executive,1,Married,15499,22783,4,Y,No,16,3,3,80,3,2,0,3,18,2,2,16
42,Yes,Travel_Rarely,1237,Sales,29,1,Medical,1,44,3,Male,94,2,1,Sales Executive,1,Married,3772,18627,2,Y,No,22,4,4,80,2,23,2,4,26,10,1,10
22,Yes,Non-Travel,1244,Sales,13,3,Marketing,1,45,3,Female,48,3,3,Research Scientist,2,Single,3785,12238,8,Y,Yes,24,3,1,80,2,1,2,3,11,6,10,15
30,No,Non-Travel,419,Human Resources,10,1,Other,1,46,3,Female,78,2,2,Laboratory Technician,2,Single,15350,3525,6,Y,No,18,4,4,80,1,19,6,4,12,11,14,14
36,Yes,Travel_Rarely,1182,Research & Development,6,2,Other,1,47,3,Female,91,3,5,Human Resources,1,Married,3757,7347,4,Y,No,24,4,1,80,3,22,0,4,3,12,11,7
42,No,Travel_Frequently,561,Human Resources,11,1,Technical Degree,1,48,2,Female,34,3,4,Laboratory Technician,4,Married,1181,4690,0,Y,No,24,3,4,80,2,15,2,1,3,7,13,14
22,No,Travel_Frequently,1324,Sales,1,5,Other,1,49,2,Male,84,1,5,Research Director,2,Single,14659,8231,1,Y,No,19,3,4,80,0,40,3,3,16,0,11,2
40,No,Travel_Rarely,1447,Sales,4,5,Technical Degree,1,50,2,Female,75,3,2,Sales Executive,4,Single,6981,6512,1,Y,No,15,3,1,80,0,20,2,4,34,15,8,1
59,No,Travel_Frequently,833,Human Resources,28,3,Marketing,1,51,3,Male,81,4,4,Research Director,2,Married,17311,14131,8,Y,No,22,4,1,80,1,34,2,3,6,2,10,9
37,Yes,Travel_Rarely,974,Human Resources,23,4,Marketing,1,52,1,Male,85,3,1,Human Resources,4,Married,17821,26666,2,Y,No,24,4,1,80,0,15,6,3,23,12,1,4
46,Yes,Travel_Frequently,1011,Human Resources,19,2,Other,1,53,4,Male,65,2,1,Healthcare Representative,2,Married,17974,14774,8,Y,Yes,23,4,4,80,2,31,1,1,8,2,14,5
46,No,Travel_Rarely,756,Sales,12,1,Other,1,54,3,Female,52,3,5,Manager,1,Divorced,5559,9851,7,Y,Yes,19,4,4,80,0,4,2,4,30,16,13,13
54,No,Non-Travel,751,Sales,3,4,Medical,1,55,2,Female,46,4,5,Healthcare Representative,1,Single,6023,12059,2,Y,Yes,25,3,3,80,0,16,1,3,8,9,2,16
59,No,Travel_Rarely,1291,Human Resources,6,5,Technical Degree,1,56,1,Female,40,1,5,Manufacturing Director,2,Single,14659,22348,0,Y,Yes,21,4,4,80,3,19,3,1,3,5,14,13
48,Yes,Non-Travel,798,Sales,5,3,Technical Degree,1,57,3,Male,46,3,5,Sales Representative,1,Married,8930,17379,1,Y,Yes,14,3,1,80,2,24,6,4,15,5,10,10
30,No,Travel_Frequently,1156,Research & Development,16,3,Medical,1,58,1,Male,94,4,2,Manager,3,Divorced,2665,11313,7,Y,Yes,19,3,1,80,1,16,5,3,25,11,1,12
21,No,Travel_Frequently,1235,Research & Development,3,4,Other,1,59,3,Female,46,1,4,Research Director,3,Single,12989,26832,2,Y,Yes,19,3,1,80,1,21,6,4,33,14,4,16
26,Yes,Travel_Rarely,754,Human Resources,13,5,Technical Degree,1,60,3,Male,68,4,1,Research Director,3,Single,4600,15743,9,Y,No,20,4,3,80,0,37,3,2,33,12,4,7
20,No,Non-Travel,140,Research & Development,11,4,Life Sciences,1,61,2,Male,94,4,1,Laboratory Technician,2,Single,11660,23793,7,Y,Yes,13,4,3,80,2,39,3,2,15,8,9,7
37,Yes,Travel_Rarely,526,Sales,23,4,Marketing,1,62,3,Male,66,1,5,Sales Representative,4,Married,12318,6893,4,Y,Yes,22,3,3,80,2,30,1,2,34,8,8,4
24,No,Non-Travel,205,Sales,29,5,Life Sciences,1,63,1,Female,82,3,4,Human Resources,2,Divorced,19042,7269,6,Y,Yes,21,3,3,80,2,3,6,1,36,7,1,5
44,No,Non-Travel,915,Research & Development,6,3,Human Resources,1,64,3,Female,72,3,4,Sales Representative,4,Divorced,17531,17430,4,Y,No,16,3,4,80,1,0,5,3,18,18,6,5
57,Yes,Travel_Frequently,1157,Research & Development,3,4,Technical Degree,1,65,2,Female,91,3,2,Healthcare Representative,3,Married,8726,16732,4,Y,Yes,20,3,3,80,1,3,5,1,29,9,5,12
50,Yes,Travel_Rarely,342,Sales,10,3,Other,1,66,2,Female,91,2,4,Research Director,4,Single,19006,17522,8,Y,No,21,3,4,80,0,36,0,1,35,16,6,17
27,No,Travel_Frequently,1167,Research & Development,4,2,Technical Degree,1,67,1,Male,37,4,2,Sales Representative,4,Married,19487,3985,8,Y,Yes,22,3,4,80,0,13,4,1,2,13,11,2
52,No,Non-Travel,1068,Human Resources,10,4,Life Sciences,1,68,4,Male,78,4,4,Research Scientist,1,Single,18680,6451,5,Y,No,19,4,2,80,0,1,2,4,34,13,12,7
33,Yes,Travel_Frequently,419,Research & Development,7,1,Human Resources,1,69,1,Female,56,1,1,Healthcare Representative,4,Single,2604,10113,0,Y,Yes,14,3,1,80,2,14,6,3,36,10,7,9
27,No,Travel_Frequently,717,Research & Development,2,5,Other,1,70,4,Male,36,3,4,Sales Representative,3,Single,14651,15471,2,Y,Yes,13,4,2,80,2,9,6,4,3,17,13,13
53,No,Travel_Frequently,599,Research & Development,7,3,Technical Degree,1,71,4,Male,41,2,1,Manufacturing Director,4,Single,2304,4478,3,Y,Yes,14,4,3,80,1,12,5,1,30,7,6,12
33,Yes,Travel_Frequently,881,Research & Development,18,3,Marketing,1,72,3,Male,89,1,4,Research Director,2,Married,11262,15657,0,Y,No,11,4,4,80,1,12,2,2,24,18,7,15
53,Yes,Travel_Frequently,1102,Sales,21,4,Medical,1,73,3,Female,47,4,2,Sales Representative,1,Single,2117,4529,0,Y,Yes,13,3,1,80,0,13,4,4,23,1,15,15
19,No,Travel_Rarely,1231,Research & Development,1,1,Other,1,74,3,Female,94,4,2,Human Resources,1,Single,5888,9990,3,Y,Yes,15,4,1,80,3,29,4,2,14,9,2,1
23,Yes,Travel_Frequently,874,Sales,16,1,Technical Degree,1,75,2,Female,93,4,3,Human Resources,1,Divorced,7936,24778,9,Y,Yes,11,3,3,80,1,20,0,2,37,4,12,2
37,No,Travel_Rarely,594,Sales,27,4,Technical Degree,1,76,4,Female,40,3,1,Human Resources,4,Divorced,3499,13254,9,Y,Yes,11,4,4,80,1,22,4,4,27,5,12,2
57,Yes,Non-Travel,252,Human Resources,9,2,Medical,1,77,4,Male,76,1,1,Healthcare Representative,3,Married,12802,10933,1,Y,No,13,4,4,80,0,1,0,3,35,2,10,12
18,Yes,Travel_Frequently,896,Human Resources,24,5,Life Sciences,1,78,4,Female,47,3,3,Manufacturing Director,4,Divorced,3082,7573,6,Y,Yes,15,4,1,80,2,15,5,4,38,6,14,3
26,Yes,Non-Travel,912,Research & Development,27,5,Medical,1,79,4,Male,85,2,3,Research Director,2,Married,11304,7914,6,Y,Yes,22,4,2,80,3,17,6,4,23,3,6,17
29,No,Travel_Rarely,1047,Sales,7,4,Marketing,1,80,4,Male,47,3,2,Manufacturing Director,2,Single,14874,14447,1,Y,Yes,20,4,4,80,2,34,4,1,6,7,11,5
59,No,Travel_Rarely,1423,Sales,21,4,Marketing,1,81,1,Female,42,3,2,Sales Representative,2,Married,13268,14910,7,Y,Yes,11,4,1,80,3,5,0,2,22,9,10,14
31,Yes,Travel_Frequently,1077,Human Resources,15,4,Marketing,1,82,3,Female,44,1,3,Human Resources,2,Single,9001,19002,2,Y,Yes,19,4,4,80,3,40,1,2,40,13,12,0
57,No,Travel_Frequently,1314,Research & Development,13,1,Technical Degree,1,83,2,Male,38,1,5,Laboratory Technician,3,Married,7466,17087,1,Y,Yes,19,4,4,80,0,22,2,4,39,5,9,2
26,Yes,Non-Travel,590,Research & Development,4,2,Marketing,1,84,4,Male,47,4,4,Laboratory Technician,4,Single,18617,24816,2,Y,Yes,15,3,2,80,3,39,0,3,0,15,4,6
42,Yes,Travel_Frequently,1109,Research & Development,23,4,Medical,1,85,1,Female,58,3,1,Manufacturing Director,2,Single,10468,7605,7,Y,No,20,3,3,80,0,28,4,2,27,3,7,9
20,Yes,Travel_Frequently,815,Human Resources,15,1,Life Sciences,1,86,3,Male,51,2,2,Manager,1,Single,12504,19535,4,Y,Yes,22,4,3,80,0,8,6,4,3,8,4,4
33,No,Travel_Rarely,761,Human Resources,25,4,Medical,1,87,3,Male,78,4,1,Human Resources,4,Single,10125,24858,5,Y,Yes,16,3,1,80,2,4,6,4,13,13,6,15
35,Yes,Travel_Frequently,793,Sales,19,2,Other,1,88,3,Female,35,1,4,Healthcare Representative,1,Divorced,15469,17053,0,Y,No,22,3,3,80,2,5,5,3,16,2,11,5
21,Yes,Travel_Rarely,727,Sales,23,2,Medical,1,89,1,Female,57,4,1,Laboratory Technician,2,Single,15592,2398,0,Y,No,24,4,2,80,0,14,3,1,6,3,10,11
37,No,Travel_Frequently,374,Sales,22,2,Human Resources,1,90,2,Male,74,2,2,Research Scientist,4,Divorced,3849,5386,2,Y,Yes,16,4,3,80,1,17,5,1,15,17,9,0
60,Yes,Non-Travel,1162,Sales,17,2,Technical Degree,1,91,3,Female,60,4,4,Human Resources,2,Married,3335,19404,0,Y,Yes,13,4,4,80,1,30,6,1,1,18,2,0
34,No,Non-Travel,225,Research & Development,17,3,Technical Degree,1,92,4,Male,40,2,3,Human Resources,3,Divorced,17763,8752,2,Y,Yes,20,3,3,80,1,3,1,1,27,3,14,1
37,No,Non-Travel,127,Sales,5,1,Life Sciences,1,93,3,Male,51,3,2,Manufacturing Director,1,Divorced,11986,16162,4,Y,Yes,22,3,4,80,2,3,3,2,23,5,8,3
54,No,Non-Travel,1144,Human Resources,2,1,Life Sciences,1,94,4,Male,79,2,2,Healthcare Representative,4,Divorced,11553,10229,6,Y,Yes,24,3,3,80,0,11,1,1,25,2,14,9
37,Yes,Non-Travel,1234,Research & Development,1,3,Life Sciences,1,95,3,Female,89,3,5,Sales Executive,2,Single,18918,10126,2,Y,Yes,11,3,3,80,2,0,6,4,19,3,6,16
33,Yes,Travel_Frequently,224,Human Resources,23,3,Human Resources,1,96,2,Male,77,4,1,Human Resources,2,Single,13931,4546,9,Y,Yes,21,3,2,80,2,20,6,4,20,10,14,8
32,No,Non-Travel,380,Sales,4,2,Human Resources,1,97,4,Male,70,4,1,Sales Representative,3,Divorced,15817,12196,7,Y,No,12,3,3,80,1,20,1,1,15,11,12,16
21,Yes,Travel_Frequently,458,Human Resources,13,4,Other,1,98,1,Male,43,2,1,Healthcare Representative,1,Divorced,5292,8586,6,Y,No,20,4,1,80,0,12,5,4,8,2,10,3
20,Yes,Non-Travel,446,Sales,14,4,Medical,1,99,4,Male,52,3,2,Laboratory Technician,3,Married,15623,6964,0,Y,Yes,18,4,4,80,0,17,3,2,26,6,7,17
19,Yes,Travel_Rarely,837,Research & Development,18,4,Marketing,1,100,4,Male,53,1,3,Manager,1,Married,2928,17550,8,Y,No,13,3,2,80,2,34,6,1,14,18,12,11
29,No,Non-Travel,1315,Research & Development,26,3,Other,1,101,3,Female,54,4,5,Manufacturing Director,2,Married,2252,5051,0,Y,No,11,4,1,80,1,8,2,2,20,1,0,4
55,No,Non-Travel,1179,Research & Development,3,3,Technical Degree,1,102,1,Male,68,3,2,Laboratory Technician,4,Single,16973,23366,5,Y,Yes,14,3,4,80,2,8,1,1,36,12,1,5
56,Yes,Travel_Rarely,554,Sales,19,1,Medical,1,103,3,Female,60,3,3,Laboratory Technician,1,Single,12010,16729,0,Y,No,14,3,3,80,0,0,0,4,28,13,5,13
49,Yes,Travel_Frequently,1220,Research & Development,4,4,Other,1,104,2,Male,39,1,3,Healthcare Representative,3,Married,4440,4525,5,Y,Yes,13,3,1,80,3,1,3,2,38,13,5,1
24,Yes,Non-Travel,491,Research & Development,23,5,Technical Degree,1,105,3,Male,60,1,1,Research Scientist,4,Divorced,2795,13917,0,Y,No,15,4,2,80,0,13,1,3,5,15,3,9
43,Yes,Travel_Frequently,1455,Research & Development,3,5,Medical,1,106,3,Male,77,2,4,Healthcare Representative,3,Married,16248,10725,3,Y,No,13,3,1,80,3,37,1,1,24,16,13,17
48,No,Travel_Frequently,714,Human Resources,13,1,Other,1,107,1,Male,52,2,2,Manager,2,Divorced,14882,4661,6,Y,No,24,4,3,80,0,24,4,4,35,10,8,16
47,No,Travel_Rarely,1378,Sales,17,4,Human Resources,1,108,2,Female,42,1,5,Human Resources,3,Single,12276,15558,4,Y,Yes,20,4,1,80,2,25,1,4,2,12,10,7
21,Yes,Travel_Frequently,864,Human Resources,11,3,Marketing,1,109,4,Female,59,2,3,Sales Executive,3,Married,14665,21917,1,Y,Yes,14,4,4,80,0,32,6,2,4,9,12,4
51,No,Non-Travel,496,Human Resources,27,1,Life Sciences,1,110,4,Female,76,2,3,Research Director,4,Single,14016,22915,1,Y,No,16,4,4,80,3,37,4,3,22,5,8,2
36,No,Travel_Frequently,203,Human Resources,28,5,Life Sciences,1,111,2,Female,64,4,5,Healthcare Representative,1,Married,5344,23307,2,Y,No,15,4,3,80,3,22,3,3,13,14,9,16
57,Yes,Travel_Rarely,311,Human Resources,17,3,Other,1,112,3,Female,91,1,3,Manufacturing Director,3,Married,9566,23593,4,Y,No,19,3,1,80,2,8,5,1,31,9,8,13
43,Yes,Travel_Rarely,174,Sales,23,5,Life Sciences,1,113,2,Male,75,3,2,Sales Representative,2,Married,4207,17520,2,Y,No,21,4,1,80,2,14,5,3,26,10,11,8
55,Yes,Travel_Frequently,343,Research & Development,2,5,Other,1,114,4,Female,94,1,4,Sales Representative,3,Married,2780,7034,2,Y,Yes,17,4,2,80,1,5,3,3,40,5,10,1
18,Yes,Travel_Frequently,530,Human Resources,19,2,Medical,1,115,2,Male,84,4,4,Sales Executive,4,Divorced,2245,19584,3,Y,No,25,4,2,80,0,40,5,2,14,11,9,4
24,Yes,Travel_Rarely,1307,Research & Development,6,1,Human Resources,1,116,3,Male,96,3,4,Laboratory Technician,3,Married,12780,26673,3,Y,Yes,11,3,2,80,1,1,4,2,7,11,1,12
58,Yes,Travel_Rarely,1378,Human Resources,20,1,Technical Degree,1,117,1,Female,44,4,4,Research Scientist,1,Single,9290,17639,2,Y,No,15,4,1,80,1,26,6,1,32,3,9,3
24,Yes,Non-Travel,1349,Human Resources,25,3,Other,1,118,3,Male,67,2,1,Sales Representative,4,Divorced,16759,12927,3,Y,No,21,3,1,80,1,5,6,1,6,8,7,14
36,Yes,Travel_Frequently,204,Human Resources,27,2,Human Resources,1,119,3,Male,84,1,1,Healthcare Representative,1,Divorced,6596,12863,5,Y,Yes,25,3,3,80,1,7,3,4,29,8,12,15
44,No,Non-Travel,373,Sales,24,1,Life Sciences,1,120,4,Male,86,2,5,Research Scientist,3,Single,1953,24522,2,Y,Yes,12,4,4,80,0,16,5,3,0,16,7,10
51,No,Travel_Frequently,1457,Sales,8,4,Marketing,1,121,2,Female,31,2,5,Sales Executive,4,Divorced,3462,26716,7,Y,No,16,4,1,80,3,25,6,2,5,14,14,14
23,Yes,Travel_Frequently,749,Human Resources,16,1,Human Resources,1,122,4,Female,100,1,1,Manufacturing Director,2,Single,15958,13263,5,Y,No,24,4,3,80,2,28,0,1,14,0,10,11
58,Yes,Travel_Rarely,1171,Research & Development,23,1,Human Resources,1,123,4,Female,82,1,3,Manager,2,Divorced,13883,9158,7,Y,Yes,12,4,1,80,3,29,5,2,31,0,1,17
45,Yes,Travel_Rarely,464,Sales,19,2,Technical Degree,1,124,1,Male,71,4,4,Manager,3,Married,12243,11733,7,Y,No,17,4,3,80,1,13,4,3,22,4,5,16
52,Yes,Travel_Rarely,338,Research & Development,18,4,Other,1,125,3,Male,31,1,1,Research Scientist,2,Divorced,2863,8644,4,Y,Yes,21,4,2,80,2,13,6,1,22,14,3,17
32,Yes,Non-Travel,1148,Sales,10,1,Medical,1,126,4,Male,100,1,1,Manufacturing Director,2,Single,15527,9484,5,Y,No,15,4,2,80,1,11,5,1,24,1,13,8
53,Yes,Non-Travel,431,Sales,28,3,Human Resources,1,127,4,Female,35,2,3,Healthcare Representative,3,Married,19774,20121,5,Y,Yes,19,3,2,80,1,26,4,4,5,11,7,6
60,Yes,Travel_Frequently,840,Research & Development,7,5,Other,1,128,1,Female,74,4,2,Manager,1,Single,11525,14590,1,Y,Yes,19,4,1,80,3,31,0,3,12,10,2,3
28,No,Travel_Rarely,236,Human Resources,22,2,Technical Degree,1,129,1,Female,98,4,1,Laboratory Technician,1,Married,11878,3335,1,Y,No,13,4,1,80,2,26,3,4,40,12,13,10
19,Yes,Travel_Rarely,344,Sales,1,5,Human Resources,1,130,1,Male,94,1,3,Manufacturing Director,1,Married,15350,14592,6,Y,Yes,13,3,2,80,2,40,1,3,23,0,4,3
20,No,Travel_Rarely,1323,Research & Development,18,5,Human Resources,1,131,2,Male,57,4,5,Laboratory Technician,2,Divorced,8243,22308,4,Y,No,13,3,4,80,2,4,2,1,12,18,15,10
40,No,Travel_Rarely,1444,Human Resources,4,3,Other,1,132,2,Male,92,4,3,Manufacturing Director,2,Single,19583,14037,5,Y,No,11,4,2,80,3,17,6,3,8,10,15,14
46,Yes,Travel_Frequently,1099,Sales,4,2,Technical Degree,1,133,3,Female,98,2,3,Human Resources,1,Divorced,17628,22791,0,Y,No,25,3,3,80,1,23,3,2,37,9,4,14
50,No,Travel_Frequently,847,Sales,1,2,Other,1,134,2,Male,50,2,5,Laboratory Technician,4,Married,2333,9264,7,Y,No,15,4,2,80,1,33,6,3,24,15,14,1
20,Yes,Non-Travel,1169,Sales,27,3,Technical Degree,1,135,2,Male,78,3,5,Human Resources,3,Married,8312,19014,6,Y,Yes,18,4,1,80,3,10,1,1,32,8,6,4
29,No,Travel_Frequently,1334,Sales,27,1,Technical Degree,1,136,4,Male,44,4,4,Sales Executive,2,Single,6292,23303,6,Y,No,11,3,2,80,0,36,1,1,10,8,5,16
43,No,Travel_Rarely,1457,Research & Development,3,2,Medical,1,137,4,Female,58,4,5,Laboratory Technician,2,Single,17747,10761,2,Y,Yes,20,3,2,80,3,8,0,1,12,16,13,4
56,No,Non-Travel,1076,Sales,20,1,Other,1,138,1,Male,46,1,4,Sales Representative,4,Married,2432,24954,8,Y,No,23,4,4,80,0,27,1,3,30,7,2,9
56,Yes,Travel_Frequently,489,Human Resources,23,1,Other,1,139,1,Male,56,3,4,Research Director,1,Divorced,14970,23444,9,Y,Yes,24,4,3,80,3,13,3,4,11,11,15,8
